,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
123,Indiana,12,9,3,.750,5.59,3.51,,2,0,,7,1,,1,0,,892,867,,69.9,103.3,.287,.423,.518,49.3,53.8,9.9,7.5,.484,13.9,29.1,.209
124,Indiana State,12,11,1,.917,15.20,-0.98,,2,0,,5,0,,2,1,,1058,850,,73.2,96.7,.270,.324,.510,48.8,36.9,8.1,11.7,.479,17.0,26.8,.194
125,Iona,12,5,7,.417,-0.57,-0.49,,1,1,,3,2,,1,2,,861,862,,69.1,103.9,.432,.429,.558,51.4,55.4,9.3,12.6,.524,18.9,31.1,.296
126,Iowa,12,7,5,.583,14.01,4.92,,0,2,,5,1,,0,3,,1039,930,,74.8,103.6,.263,.362,.527,49.1,49.7,8.1,8.3,.501,15.4,30.3,.185
127,Iowa State,12,10,2,.833,25.75,-2.42,,,,,8,0,,1,0,,1036,698,,70.7,82.2,.330,.449,.492,44.9,57.0,8.7,6.8,.449,24.7,24.5,.240
128,IUPUI,13,4,9,.308,-21.73,-4.43,,0,2,,3,2,,1,5,,874,1009,,68.9,111.6,.346,.353,.593,52.5,55.3,9.5,7.4,.572,18.1,33.5,.237
129,Jackson State,12,4,8,.333,-8.83,3.17,,,,,0,0,,2,8,,831,975,,71.9,113.0,.414,.453,.582,51.7,61.5,11.7,10.2,.551,16.5,33.6,.290
130,Jacksonville,13,8,5,.615,-11.85,-2.12,,,,,5,0,,2,5,,978,981,,72.6,102.9,.404,.392,.526,47.6,55.7,11.4,8.2,.489,16.0,31.4,.276
131,Jacksonville State,13,6,7,.462,-1.22,-3.47,,,,,2,3,,3,4,,889,812,,66.2,93.4,.346,.326,.498,46.3,42.9,9.6,8.9,.459,17.3,25.9,.241
132,James Madison,12,12,0,1.000,11.59,-3.77,,,,,5,0,,5,0,,1111,871,,75.3,93.6,.337,.331,.502,46.1,42.3,8.1,6.3,.464,18.7,28.4,.238
133,Kansas,12,11,1,.917,16.78,4.05,,,,,7,0,,1,0,,949,782,,70.6,92.3,.227,.415,.471,46.1,46.8,10.0,7.4,.443,14.9,25.8,.158
134,Kansas City,13,5,8,.385,-9.40,0.00,,,,,4,0,,1,5,,923,910,,68.0,101.9,.413,.385,.536,45.7,54.8,9.9,8.8,.492,16.2,27.0,.299
